chemin, class, classe_LOC, classe_CLOC, classe_DC 
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\time\TimePeriodValue.java,TimePeriodValue,168,104,0.61904764
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\time\TimePeriodValues.java,TimePeriodValues,425,210,0.49411765
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\time\TimePeriodValuesCollection.java,TimePeriodValuesCollection,411,206,0.50121653
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\time\TimeSeries.java,TimeSeries,1172,580,0.49488056
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\time\TimeSeriesCollection.java,TimeSeriesCollection,663,344,0.5188537
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\time\TimeSeriesDataItem.java,TimeSeriesDataItem,190,126,0.6631579
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\time\TimeSeriesTableModel.java,TimeSeriesTableModel,240,113,0.47083333
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\time\TimeTableXYDataset.java,TimeTableXYDataset,561,335,0.59714794
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\time\Week.java,Week,595,296,0.497479
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\time\Year.java,Year,368,228,0.6195652
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\UnknownKeyException.java,UnknownKeyException,53,47,0.8867925
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\xml\CategoryDatasetHandler.java,CategoryDatasetHandler,121,73,0.60330576
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\xml\CategorySeriesHandler.java,CategorySeriesHandler,134,78,0.58208954
C:\Users\jeank\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\xml\DatasetReader.java,DatasetReader,161,89,0.55279505
